Tenure_Length,Random-Agent,Fixed-Agent,Vote-Agent,Crowd-Agent
10,2.05821279697249,1.9361293787671294,1.9835318580778472,2.066104989691164
20,2.0448489116665107,1.8327412858637433,1.9163210438834137,2.056915932555068
30,2.0360962651645464,1.7941481692808288,1.8941003672098904,2.046240909267472
40,2.0278758287054783,1.7528070345705185,1.8633979548719735,2.0359778145150456
50,2.0218014545837133,1.6942751140608234,1.8418689468614495,2.0260762937652306
60,2.0180096734312687,1.6790118091418877,1.83825471327308,2.018124391298112
70,2.015732117859125,1.7036815801361427,1.794786460491165,2.008539924679479
80,2.014121885943018,1.6224878333748896,1.8087754015650341,2.002238528518466
90,2.0094803352133437,1.6291137727196927,1.753991038311663,1.9936463571690899
100,2.0063274905827235,1.6211219813558069,1.793067426837698,1.9818906314064837
110,2.004058216840307,1.6595348322689831,1.7633074270875146,1.9774562690651165
120,2.000994605839066,1.591487613261314,1.735317982870382,1.9731268410360085
130,2.0006932775868824,1.584897390564464,1.752889307834092,1.9554963176124247
140,2.0004340679683588,1.513358485347014,1.7738017209746333,1.9526182468330053
150,1.9960190712857857,1.4299601636273367,1.7919627201990305,1.946596718919607
160,2.000236976357142,1.4805717613536906,1.7527665749947874,1.9371779782277874
170,1.9957839673699118,1.3972321810124209,1.776516058450865,1.9266620820591893
180,1.995191385847256,1.484271147457816,1.761343498976805,1.9252912890131881
190,1.9942643126488173,1.4081641416392372,1.744822447285395,1.9332077866094872
200,1.9976432288674526,1.6192719697830846,1.7253393103638093,1.9063082093265813
210,1.9988196341627884,1.598445211472355,1.7322089194050463,1.9020815332429428
220,1.9962370095534467,1.4604138070373092,1.7180001388705202,1.9013207325592971
230,1.995216040248943,1.422731593924734,1.7138329147404263,1.8942601399221473
240,1.9957932093099748,1.3980057453820431,1.7135330556382642,1.8866085851858057
250,2.0002213947231473,1.589887836355989,1.7711977374204007,1.8800841905721897
260,1.9903363040665705,1.690453039152042,1.7230597855340477,1.8734788697963165
270,1.9961267744377889,1.439023143873882,1.7284539282637805,1.8635434296665752
280,1.9845244194040241,1.6675675296104902,1.7582405195669384,1.845532203030198
290,1.9885913117422476,1.3339888914493254,1.743635264792375,1.8577796745662218
300,1.9961685239103686,1.5530444502918903,1.7091316688960072,1.8582161962370782
310,1.9881141343274829,1.5631440004604045,1.7017559192054172,1.8382253739934908
320,1.9985949993912666,1.4987256471816954,1.7232567135059236,1.8366737335939864
330,1.98450467064673,1.3880688826680678,1.7176163590938913,1.8251890485740139
340,1.9895634141471652,1.3764306157262498,1.766761921078084,1.8045510508769989
350,1.9818629356113742,1.632568866060443,1.6792725558850286,1.809531095059407
360,1.9817477862172548,1.4102481290359559,1.722527445764954,1.8124801831215405
370,1.989226025821389,1.6123511372204822,1.6439808363795496,1.8181956661351808
380,1.9865856439107903,1.4706450288478516,1.7513009533852233,1.8181331517659032
