Tenure_Length,Random-Agent,Fixed-Agent,Vote-Agent,Crowd-Agent
10,2.0231048493996653,1.5968835920560742,1.7553001135753168,2.0478122525930598
20,1.977129017495303,1.3000667864853166,1.530014998934921,2.015419408993267
30,1.9412252659091858,1.1181104373643136,1.3585141957935227,1.9838801777375836
40,1.91171672432074,0.9907873366772887,1.2866429532748904,1.947241338517769
50,1.8868589235512692,0.9147480575172328,1.1571028580138245,1.9097425701599087
60,1.8695051457572793,0.8073235237852543,1.1365561685697987,1.8749058746727443
70,1.8538400580245598,0.747691449301781,1.0724767488539233,1.8437561928768595
80,1.839798329345536,0.6553262609901203,1.0175056181730888,1.8068894427626727
90,1.8413990703816894,0.6414393759275665,1.006549108664812,1.7657160387670487
100,1.816554018576717,0.5595971688891624,0.9379290441946511,1.7232826143383528
110,1.8161799779613168,0.5895089966905402,0.9220533003229047,1.7052926962400092
120,1.8012483435497886,0.5386081080974721,0.878657355764473,1.6768807077053576
130,1.7982141377879504,0.49312399537398277,0.856682894384279,1.6423285570621986
140,1.7760110326507732,0.477022783033644,0.8721494822499243,1.5926266236828686
150,1.7948399948306364,0.47472099809364926,0.7792598308827221,1.5789166471482994
160,1.7918293835090608,0.3815162416365772,0.8463426858297128,1.5537611976804526
170,1.768607554195699,0.48354633889933146,0.7596844973335126,1.508915475213329
180,1.7741181509075734,0.47984548530459736,0.7791526656929209,1.499995250963413
190,1.7785435926254778,0.5113734466986449,0.7547730549673703,1.474646855470721
200,1.7745947883059148,0.4177106835229909,0.7042981830085426,1.4063883192551805
210,1.7583492436138126,0.396295925619637,0.7814176698327544,1.4082196307029513
220,1.7749212922460824,0.41356535405077127,0.7435044103937452,1.4108202788115012
230,1.7469892911906322,0.3841951866850475,0.7323246050466972,1.3772145743006907
240,1.7455717136747777,0.42983138243158586,0.7589619336307148,1.3464124507996966
250,1.7451430139761404,0.2924485352632039,0.6696139234922157,1.2781908978410128
260,1.729357373358342,0.3805545712786722,0.7607934808742999,1.2954139909514355
270,1.7404232440179745,0.3925527492830089,0.6975765253248867,1.2650505928632636
280,1.7471457064531504,0.38112890881448863,0.6783961691183382,1.2806168146859556
290,1.747044410876693,0.3290105099376387,0.7022819264270651,1.274255210491659
300,1.7229888817316694,0.2967548920480897,0.7008037346495737,1.215150525331039
310,1.7361147051837844,0.2832091224646661,0.6361757472064702,1.201086304978861
320,1.7361310917387107,0.3506009656195961,0.6681300615940464,1.1862075178800804
330,1.732238860123719,0.4226966161342309,0.6265623937558765,1.1368375356811828
340,1.7445750025158335,0.4667944685457573,0.7109301169972746,1.0981243658217295
350,1.741188560959442,0.4174792880132974,0.608625426910305,1.0724799090514932
360,1.7306735833045455,0.3060780244812751,0.6146042102927121,1.074715258588208
370,1.7273136330739984,0.47321053876552704,0.6158249778784082,1.078668037048367
380,1.7244046744291848,0.23802016710534574,0.635198756375078,1.0638265903986612
390,1.7382324980077417,0.25052589236019696,0.517497750091463,1.079646573993581
400,1.7526800422208684,0.1957486539725198,0.6914222542142132,1.059841201309139
410,1.7246811397508026,0.2818522802082035,0.6180753672294934,1.0635420436324547
420,1.7297451753027209,0.26686775181356964,0.6058928778353299,1.016154085321718
430,1.7055745167711902,0.3886978091124527,0.6197140310810298,1.037307219800012
440,1.7031389665891496,0.26922040087919646,0.6207457650087301,0.9855368556846099
450,1.730739481840136,0.23470404492154348,0.6084398179380884,0.9971613104869448
460,1.727730978330763,0.2359843358551046,0.5299088765782038,0.943511731017628
470,1.6998107397091362,0.32436640002201295,0.6921756305420342,0.9170331475784953
480,1.7159950614979889,0.2574165396775414,0.5290362538264128,0.8897722225584825
490,1.7317343989933898,0.31087283817555716,0.6381275476738039,0.8589589642067785
500,1.7276049982532888,0.3319922869316926,0.6407827332612128,0.7503219277777027
510,1.7245688204420722,0.18307172295401378,0.5514921029199511,0.8220145974379028
520,1.7274772918180097,0.1413255202140387,0.5299390456647747,0.8266941971498678
530,1.6995790536127804,0.2177050356573391,0.5113821351499392,0.7507600680327484
540,1.7241035952755797,0.21847961554230583,0.5926506320780138,0.7536195673534642
550,1.717547803625916,0.1645846399409495,0.5966440344432241,0.7809251347326825
560,1.738581612601764,0.10557134563809455,0.5828071106017606,0.7949391070021733
570,1.705682692418138,0.22527308826717105,0.47577253961391713,0.7815011122022018
580,1.7073837415235578,0.30966220172765646,0.5738235409401308,0.7611812004344801
590,1.6968745118612705,0.403344959065348,0.5286385952661674,0.8018033481751569
600,1.716894889865947,0.37993265169307,0.4353505400395949,0.7896433478050033
610,1.7040730672689053,0.2494662866036029,0.4997001166669495,0.7813163087406759
620,1.7124776535070982,0.33496236892906905,0.471053815970834,0.7859207529145755
630,1.7308040422111097,0.31408688502462134,0.5533534266996109,0.7155829315800329
640,1.716805751632085,0.35970873994160146,0.6379868478543567,0.7478870657421327
650,1.7239740434173434,0.2841940817190944,0.5085605597191959,0.7538149107738458
660,1.7289256102793198,0.13586903329435518,0.535589185783872,0.7425245046672835
670,1.7030133465262438,0.1770102663347333,0.5778694633320554,0.7262283755718746
680,1.7202108835029128,0.23731876878459174,0.46315257225861994,0.7282955537769258
690,1.6929938371713669,0.36754512643778836,0.5192973879422953,0.7001078710294869
700,1.709831620239854,0.18865294093435686,0.6156148259705356,0.7211538495047631
710,1.7138706825107024,0.22273430036136133,0.4667022854584776,0.7326132102059129
720,1.7311526843600895,0.1649346418060048,0.4943747936319811,0.6815200528260175
730,1.7079580225476856,0.6548040633442248,0.5081496647202751,0.674235725362184
740,1.716799617661349,0.26730302357781044,0.5635322522546427,0.7280910953515839
