Tenure_Length,Random-Agent,Fixed-Agent,Crowd-Agent
10,1.2200332821633146,0.30191225323479814,1.1443524849724225
20,1.1900146077696574,0.12727355378879118,0.8926546126201639
30,1.1391303805851718,0.11347266300480285,0.7741530433182687
40,1.1987478357807904,0.08535786216318929,0.6210724993370097
50,1.1875098280249836,0.04436141955583647,0.4255923688638073
60,1.1577839977231557,0.04038070002055536,0.43880360689003794
70,1.2394455241898161,0.04520395835206212,0.41050081098088786
80,1.1086053448661775,0.035028169647673114,0.3292647946881289
90,1.1358895648245326,0.020155144350269785,0.2126042645980061
100,1.1537168885089946,0.0,0.0
110,1.1332709655487931,0.0,0.0
120,1.057184999094571,0.0,0.0
130,1.1456031214419649,0.0,0.0
140,1.2162820594135628,0.0,0.0
150,1.0636897899025226,0.0,0.0
160,1.0876337069211592,0.0,0.0
170,1.1654777368495999,0.0,0.0
180,1.0916166907301021,0.0,0.0
190,1.154514246741604,0.0,0.0
200,1.1866307112925667,0.0,0.0
210,1.1645802396067473,0.0,0.0
220,1.3104497438263902,0.0,0.0
230,1.1437730719110815,0.0,0.0
240,1.1979044619685713,0.0,0.0
250,1.0733735653907612,0.0,0.0
260,1.17849046135961,0.0,0.0
270,1.0619056333306234,0.0,0.0
280,1.1220741582665759,0.0,0.0
290,1.059822376578133,0.0,0.0
300,1.2210760234445175,0.0,0.0
310,1.183390440457659,0.0,0.0
320,1.203836080829033,0.0,0.0
330,1.2004723455884911,0.0,0.0
340,1.1420599174104404,0.0,0.0
350,1.2016912377012177,0.0,0.0
360,1.0896577287651716,0.0,0.0
370,1.1156189240318728,0.0,0.0
380,1.0955086039098414,0.0,0.0
390,1.141351494826867,0.0,0.0
400,1.0665029253530165,0.0,0.0
410,1.1320281468311615,0.0,0.0
420,1.018629699991616,0.0,0.0
430,1.087211148906686,0.0,0.0
440,1.1337629866191035,0.0,0.0
450,1.1919639990201487,0.0,0.0
460,1.1770519402970598,0.0,0.0
470,1.1236094122813518,0.0,0.0
480,1.2325955080842477,0.0,0.0
490,1.081278157108139,0.0,0.0
